,correlation,dissimilarity,homogeneity
0,0.09280066583437371,2.7799999999999994,0.25636976886388646
1,0.14611193660227834,2.38,0.32425275773511075
2,0.08385233324307247,2.2800000000000002,0.3398998165586401
3,0.06609034512104994,2.3,0.34707628714687544
4,0.06423926117714218,2.3,0.37528218053612605
5,-0.012824617873573918,2.58,0.35788020033810625
6,-0.0359584572830228,3.08,0.2989723356253635
7,-0.048933245073578054,3.08,0.3101035573448205
8,-0.019950124688279273,3.08,0.3009270867565852
9,0.0036900369003690175,3.16,0.2791694262155674
10,-0.10628019323671499,3.4400000000000004,0.25119892142445943
11,-0.2462518740629685,3.7200000000000006,0.23953973317410965
12,-0.27674408470957346,4.12,0.16384742548180195
13,-0.21332177788782963,4.16,0.14784742548180196
14,-0.0362372797220154,3.5200000000000005,0.256105710916558
15,0.06387871667645696,2.9800000000000004,0.2813038043195294
16,0.26923737383373714,2.14,0.35633239574416053
17,0.34474741069541326,1.86,0.3974340222575517
18,0.12515438452037878,1.96,0.4049181851534793
19,-0.4702526487367564,2.38,0.31903519628225513
20,-0.3856989741234115,1.8800000000000001,0.46049465574171455
21,-0.316272056726028,1.62,0.5413181851534792
22,-0.2606827517824259,1.2999999999999998,0.6407776446129386
23,-0.0684246419640828,1.08,0.6692934817170112
24,0.3066752660432119,0.8,0.6891764705882353
25,0.10384818133895626,1.12,0.5943529411764705
26,-0.05501873397751919,1.56,0.47505882352941176
27,-0.048481798355980536,1.84,0.3762352941176471
28,0.025511012517826046,1.76,0.41341176470588237
29,0.06854897394847914,1.8399999999999999,0.38541176470588234
30,-0.045187132306922,2.16,0.33247058823529413
31,0.15785805552328955,2.0,0.3489411764705882
32,0.13916349809885936,1.9800000000000002,0.3497647058823529
33,0.13376732465350694,2.2399999999999998,0.2785339366515837
34,0.18997221072547746,2.46,0.2741966491378256
35,0.26412092283213995,2.48,0.271162529044882
36,0.04594058734812151,2.8200000000000003,0.2354671395377278
37,-0.016492259308485732,2.7,0.2610598997187233
38,-0.11872187381395598,2.94,0.23296451021156905
39,-0.09890109890109892,3.0,0.2622063336485144
40,0.007383219430437314,2.9,0.3014841617028131
41,0.12075288295851191,2.66,0.3295324923864379
42,0.13463021921766086,2.7399999999999998,0.3215324923864379
43,0.12167435260730755,2.7,0.33256842243413265
44,0.08544384753133791,2.7199999999999998,0.30028342913048794
45,-0.10812807437971857,2.86,0.2750906689494925
46,-0.2784413858234666,3.1399999999999997,0.24771926134279076
47,-0.3565857195917862,3.3,0.2116649627002568
48,-0.3588304139969452,3.1,0.22354795157148102
49,-0.37712096332785977,2.9400000000000004,0.2408198116668705
50,-0.3639026022926951,3.0,0.23730913537972365
51,-0.3936976045273203,3.2600000000000002,0.23655321022379844
52,-0.3832411172588494,3.3600000000000003,0.2346774611715788
53,-0.36209828406533956,3.2200000000000006,0.2539082304023481
54,-0.28152128978916907,3.1400000000000006,0.26773383881619184
55,-0.22965403624382208,3.2600000000000002,0.2674766330339469
56,0.1690062817491244,3.0999999999999996,0.26792225637612205
57,0.21654709640575356,3.8400000000000003,0.2501141115797419
58,-0.001072401885066057,5.68,0.19736147105784435
59,-0.2565282277474389,8.219999999999999,0.1448232081710512
60,-0.33867160017221454,11.780000000000001,0.10613070390452287
61,-0.29271102245641667,16.12,0.0727786001975334
62,-0.2533964414059076,20.28,0.046304259662552555
63,-0.19864089455669512,26.62,0.025281463402613523
64,-0.2693124296000598,32.08,0.0022625833740597934
65,-0.395705477935541,36.16,0.0016466565211692434
66,-0.49121493440048786,38.379999999999995,0.0014709948823432488
67,-0.6093047091865383,38.54,0.0024426623585692433
68,-0.5470712853105172,33.16,0.024653221434534443
69,-0.5210318875188198,25.939999999999998,0.06293880196808736
70,-0.37779676270889173,18.62,0.09609485197000692
71,-0.15032455854899207,13.420000000000002,0.10585203384016478
72,0.08037465596426463,9.420000000000002,0.12749899600352216
73,-0.12274394090286266,8.06,0.1109853977115359
74,-0.27487600269426243,8.420000000000002,0.09305063727424484
75,-0.21028202080060218,10.52,0.0608690826600389
76,-0.08888793691726515,15.020000000000003,0.05101881353436506
77,-0.2362891636911482,24.08,0.0279149171957183
78,-0.44820858074268866,35.5,0.02204505780410417
79,-0.6788293547227474,45.120000000000005,0.0016017475290596099
80,-0.8261654008693943,50.2,0.0005363880228911266
81,-0.8073373694547635,47.72,0.000901666247733413
82,-0.6557185737072501,38.9,0.020095161968570887
83,-0.3758128383719369,28.839999999999996,0.02176967813937382
84,-0.23578209940689523,18.8,0.0806651960323294
85,-0.20639789254561697,11.48,0.11845137082185622
86,-0.3880294339185353,8.38,0.16223095133319854
87,-0.3476763822181284,7.32,0.1665939086236821
